input,label,num_variables,template,expected_answer
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with B. A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, B and D are independent given A. B and D are independent given A and C. C and D are independent given A. C and D are independent given A and B.
Hypothesis: There exists at least one collider (i.e., common effect) of A and B.",0,4,has_collider,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, B), (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: 
- Conditional Independencies:
  - (B, D) are independent given A
  - (B, D) are independent given A, C
  - (C, D) are independent given A
  - (C, D) are independent given A, B

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, B), (A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because B and D are independent given A, there is no edge between B and D.
- Because C and D are independent given A, there is no edge between C and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes B, D, C.
  - Node B is connected to nodes C.
  - Node C has no connections.
  - Node D has no connections."
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, A is independent of B. A and D are independent given B and C. A and D are independent given C. B and D are independent given A and C. B and D are independent given C.
Hypothesis: C is a cause for B, but not a direct one.",0,4,non-child descendant,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: (A, B)
- Conditional Independencies:
  - (A, D) are independent given B, C
  - (A, D) are independent given C
  - (B, D) are independent given A, C
  - (B, D) are independent given C

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because A and D are independent given B, C, there is no edge between A and D.
- Because B and D are independent given A, C, there is no edge between B and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes C.
  - Node B is connected to nodes C.
  - Node C is connected to nodes D.
  - Node D has no connections."
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, A is independent of B. A and D are independent given B and C. A and D are independent given C. B and D are independent given A and C. B and D are independent given C.
Hypothesis: C directly causes B.",0,4,child,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: (A, B)
- Conditional Independencies:
  - (A, D) are independent given B, C
  - (A, D) are independent given C
  - (B, D) are independent given A, C
  - (B, D) are independent given C

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because A and D are independent given B, C, there is no edge between A and D.
- Because B and D are independent given A, C, there is no edge between B and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes C.
  - Node B is connected to nodes C.
  - Node C is connected to nodes D.
  - Node D has no connections."
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, A is independent of B. A and D are independent given B and C. A and D are independent given C. B and D are independent given A and C. B and D are independent given C.
Hypothesis: B causes something else which causes C.",0,4,non-parent ancestor,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: (A, B)
- Conditional Independencies:
  - (A, D) are independent given B, C
  - (A, D) are independent given C
  - (B, D) are independent given A, C
  - (B, D) are independent given C

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because A and D are independent given B, C, there is no edge between A and D.
- Because B and D are independent given A, C, there is no edge between B and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes C.
  - Node B is connected to nodes C.
  - Node C is connected to nodes D.
  - Node D has no connections."
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, A is independent of B. A and D are independent given B and C. A and D are independent given C. B and D are independent given A and C. B and D are independent given C.
Hypothesis: B directly causes C.",1,4,parent,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: (A, B)
- Conditional Independencies:
  - (A, D) are independent given B, C
  - (A, D) are independent given C
  - (B, D) are independent given A, C
  - (B, D) are independent given C

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because A and D are independent given B, C, there is no edge between A and D.
- Because B and D are independent given A, C, there is no edge between B and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes C.
  - Node B is connected to nodes C.
  - Node C is connected to nodes D.
  - Node D has no connections."
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, A is independent of B. A and D are independent given B and C. A and D are independent given C. B and D are independent given A and C. B and D are independent given C.
Hypothesis: D causes something else which causes A.",0,4,non-parent ancestor,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: (A, B)
- Conditional Independencies:
  - (A, D) are independent given B, C
  - (A, D) are independent given C
  - (B, D) are independent given A, C
  - (B, D) are independent given C

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because A and D are independent given B, C, there is no edge between A and D.
- Because B and D are independent given A, C, there is no edge between B and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes C.
  - Node B is connected to nodes C.
  - Node C is connected to nodes D.
  - Node D has no connections."
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, A is independent of B. A and D are independent given B and C. A and D are independent given C. B and D are independent given A and C. B and D are independent given C.
Hypothesis: D directly causes A.",0,4,child,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: (A, B)
- Conditional Independencies:
  - (A, D) are independent given B, C
  - (A, D) are independent given C
  - (B, D) are independent given A, C
  - (B, D) are independent given C

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because A and D are independent given B, C, there is no edge between A and D.
- Because B and D are independent given A, C, there is no edge between B and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes C.
  - Node B is connected to nodes C.
  - Node C is connected to nodes D.
  - Node D has no connections."
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, A is independent of B. A and D are independent given B and C. A and D are independent given C. B and D are independent given A and C. B and D are independent given C.
Hypothesis: A causes something else which causes D.",1,4,non-parent ancestor,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: (A, B)
- Conditional Independencies:
  - (A, D) are independent given B, C
  - (A, D) are independent given C
  - (B, D) are independent given A, C
  - (B, D) are independent given C

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because A and D are independent given B, C, there is no edge between A and D.
- Because B and D are independent given A, C, there is no edge between B and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes C.
  - Node B is connected to nodes C.
  - Node C is connected to nodes D.
  - Node D has no connections."
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, A is independent of B. A and D are independent given B and C. A and D are independent given C. B and D are independent given A and C. B and D are independent given C.
Hypothesis: A directly causes D.",0,4,parent,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: (A, B)
- Conditional Independencies:
  - (A, D) are independent given B, C
  - (A, D) are independent given C
  - (B, D) are independent given A, C
  - (B, D) are independent given C

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because A and D are independent given B, C, there is no edge between A and D.
- Because B and D are independent given A, C, there is no edge between B and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes C.
  - Node B is connected to nodes C.
  - Node C is connected to nodes D.
  - Node D has no connections."
"Premise: Suppose there is a closed system of 4 variables, A, B, C and D. All the statistical relations among these 4 variables are as follows: A correlates with C. A correlates with D. B correlates with C. B correlates with D. C correlates with D. However, A is independent of B. A and D are independent given B and C. A and D are independent given C. B and D are independent given A and C. B and D are independent given C.
Hypothesis: C is a cause for A, but not a direct one.",0,4,non-child descendant,"Step 1: Read the Data

- Extracted variables: A, B, C, D
- Correlations: (A, C), (A, D), (B, C), (B, D), (C, D)
- Marginal Independencies: (A, B)
- Conditional Independencies:
  - (A, D) are independent given B, C
  - (A, D) are independent given C
  - (B, D) are independent given A, C
  - (B, D) are independent given C

Step 2: Initialize the Graph

- Created edges between all correlated variable pairs.
- Initial edges: {(A, C), (A, D), (B, C), (B, D), (C, D)}

Step 3: Apply Marginal Independencies

- No edges removed in this step.

Step 4: Apply Conditional Independencies

- Because A and D are independent given B, C, there is no edge between A and D.
- Because B and D are independent given A, C, there is no edge between B and D.

Step 5: Compile the Causal Undirected Skeleton
In this graph:
  - Node A is connected to nodes C.
  - Node B is connected to nodes C.
  - Node C is connected to nodes D.
  - Node D has no connections."
